с,date,club,city,rang,judge,members,photo,catalog,year,comments
130,14.04.2019,КФРБ,УФА,ПК,КРАКОВСКАЯ ЛЮДМИЛА (РОССИЯ),21,https://www.facebook.com/media/set/?set=oa.1318195801667612&type=3,20190414-ufa.pdf,2019,
131,14.04.2019,МООЛЖ АМИГО,МО ПОДОЛЬСК,КЧК,КРЮКОВА ЕЛЕНА (РОССИЯ),29,https://www.facebook.com/media/set/?set=oa.1318198075000718&type=3,20190414-podolsk.pdf,2019,
132,20.04.2019,"НГОО ""СКЦ""",НОВОСИБИРСК,КЧК,ЕГОРОВА ТАТЬЯНА (РОССИЯ),17,https://www.facebook.com/media/set/?set=oa.1318212801665912&type=3,20190420-novosibirsk.pdf,2019,
133,20.04.2019,"ТРООЛФФ ""Веста""",ТЮМЕНЬ,КЧК,MASALEVICHENE NATALYA (КАЗАХСТАН),22,https://www.facebook.com/media/set/?set=oa.1336252266528632&type=3,20190420-tyumen.pdf,2019,
134,21.04.2019,МОО ЕСТЦСС,ЕКАТЕРИНБУРГ,ПК,MISIC PETAR (СЕРБИЯ),59,https://www.facebook.com/media/set/?set=oa.1318206264999899&type=3,20190421-ekaterinburg.pdf,2019,
135,21.04.2019,"МОО ККО ""ДРУГ""",СЕВАСТОПОЛЬ,КЧК,ЛАКАТОШ ЮЛИЯ (РОССИЯ),3,нет,20190421-sevastopol.pdf,2019,
136,27.04.2019,"РОО ЦЛЖ ""Лидер и Престиж""",МОСКВА,КЧК,GUNNAR NYMANN (DENMARK),28,https://www.facebook.com/media/set/?set=oa.1326050500882142&type=3,20190428-moscow.pdf,2019,
137,04.05.2019,ТООЛЖ,ТЮМЕНЬ,ПК,ПРОЗОРОВ ДМИТРИЙ (РОССИЯ),59,https://www.facebook.com/media/set/?set=oa.1469643239856200&type=3,20190504-tymen.pdf,2019,
138,04.05.2019,"КРООЛЖ ""ХЕЛЕН,С ПРАУД""(Гордость Елены)",КРАСНОЯРСК,ПК,ГРИГОРЬЕВА НАДЕЖДА (РОССИЯ),28,https://www.facebook.com/media/set/?set=oa.1337118366442022&type=3,20190504-krasnoyarsk.pdf,2019,
139,04.05.2019,СПб РОО «КК «Элита»,САНКТ-ПЕТЕРБУРГ,ПК,KRISTINA VANICKOVA (CZECH REPUBLIC),80,да,20190504-sankt-peterburg.pdf,2019,
140,09.05.2019,"РГОО РСКЦ ""МОНАРХ""",РОСТОВ-НА-ДОНУ,КЧК,САРМОНТ ТАМАРА (БЕЛАРУСЬ),11,нет,20190509-rostov.pdf,2019,
141,11.05.2019,"ОО РК ""КСП""",СЫКТЫВКАР,КЧК,ОВСЯННИКОВА ЮЛИЯ (РОССИЯ),14,https://www.facebook.com/media/set/?set=oa.1336318763188649&type=3,20190511-syktyvkar.pdf,2019,
142,12.05.2019,"ККОБО клуб ""Защита животных""",КРАСНОДАР,КЧК,FRANCISCO RUIZ RODRIGUEZ (SPAIN),11,https://www.facebook.com/media/set/?set=oa.2252721018310933&type=3&_rdc=1&_rdr,20190511-krasnodar.pdf,2019,
143,12.05.2019,"КРОО ""КК ""ЧЕМПИОН""",ЕВПАТОРИЯ,КЧК,ВАСИЛЬЕВ ОЛЕГ (РОССИЯ),14,нет,20190512-evpatoriya.pdf,2019,
144,12.05.2019,"ОО МОКЦ ""Друг""",МУРМАНСК,КЧК,ЧАЙКОВСКАЯ ФЛЕРА (РОССИЯ),30,https://www.facebook.com/media/set/?set=oa.1336316429855549&type=3,20190512-murmansk.pdf,2019,
145,18.05.2019,"ЗКОООЛЖ ""Ольф""",ЧИТА,КЧК,ЖИГАЛИН ПАВЕЛ (РОССИЯ),15,нет,20190518-chita.pdf,2019,
146,18.05.2019,ТРБОО КФРТ,КАЗАНЬ,ПК,CUCCILLATO ALBERTO (Италия),21,https://www.facebook.com/media/set/?set=oa.1351886954965163&type=3,20190518-kazan.pdf,2019,
147,18.05.2019,"ПООО ""КС и ДС""",ПСКОВ,ПК,LIVIJA ZIZEVSKE (ЛИТВА),36,нет,20190518-pskov.pdf,2019,
148,19.05.2019,"КР ОО КСС ""СИРИУС""",НОВОКУЗНЕЦК,КЧК,ГРИГОРЬЕВА НАДЕЖДА (РОССИЯ),23,http://ngkss.ru/19-05-19g-bravo-shpits-monoporodnaya-vystavka-rang-kchk-g-novokuznetsk,20190519-novokuznetsk.pdf,2019,
149,19.05.2019,"РОО ""ОКПЦ ""Фаворит""",ОМСК,ПК,MALGORZATA WIEREMIEJCZYK-WIERRZCHOWSKA (POLAND),42,https://www.facebook.com/groups/472730069547527/permalink/1435918743228650/?notif_id=1570523426868296&notif_t=group_post_approved,20190519-omsk.pdf,2019,
150,19.05.2019,ЯГОО «ОС ЯРОС»,ЯРОСЛАВЛЬ,КЧК,НИКОНОРОВА ТАТЬЯНА (РОССИЯ),20,нет,20190519-yaroslavl.pdf,2019,
151,19.05.2019,ОО РКО СК АЛЬЯНС,СТАВРОПОЛЬ,КЧК,ANDRZEJ STEPINSKI (ПОЛЬША),28,да,20190519-stavropol.pdf,2019,
152,19.05.2019,"МОО СГКЦ ""АРГУС""",СЕРОВ,КЧК,ПЕРМЯКОВ МИХАИЛ (РОССИЯ),16,да,20190519-serov.pdf,2019,
153,19.05.2019,ВлОКС,ВЛАДИМИР,КЧК,АДАМОВСКАЯ ЕЛЕНА (РОССИЯ),13,https://www.facebook.com/media/set/?set=oa.1351893328297859&type=3,20190519-vladimir.pdf,2019,
154,19.05.2019,НООО КЛЖ «Фортуна»,НИЖНИЙ НОВГОРОД,КЧК,ПРОЗОРОВ ДМИТРИЙ (РОССИЯ),30,да,20190519-nizgniy-novgorod.pdf,2019,
155,25.05.2019,"РООКК ОЛЖ ""СИРИУС""",КРАСНОЯРСК,ПК,ШИЯН ВЛАДИМИР (УКРАИНА),30,https://www.facebook.com/media/set/?set=oa.1336325329854659&type=3,20190525-krasnoyarsk.pdf,2019,
156,25.05.2019,КРОО КФ,СИМФЕРОПОЛЬ,КЧК,БЫЧКОВА ЕЛЕНА (РОССИЯ),7,да,20190525-simpheropol,2019,
157,25.05.2019,Клуб «КАС»,САНКТ-ПЕТЕРБУРГ,КЧК,НИКОЛЬСКАЯ НАТАЛЬЯ (РОССИЯ),29,https://www.facebook.com/media/set/?set=oa.1351826164971242&type=3,20190526-sankt-peterburg.pdf,2019,
158,26.05.2019,"КСиЛС ""Диана""",МИЧУРИНСК,КЧК,ФИЛАТОВА АЛЛА (РОССИЯ),14,https://www.facebook.com/media/set/?set=oa.1337107426443116&type=3,20190526-michurinsk.pdf,2019,
159,26.05.2019,"ОО ""РКФЦ""Гранд+""",СУРГУТ,КЧК,ОВСЯННИКОВА ЮЛИЯ (РОССИЯ),20,нет,20190526-surgut.pdf,2019,
160,01.06.2019,"НГОО ""ОЛС""",НОВОРОССИЙСК,КЧК,ШИЛОВА ОЛЬГА (РОССИЯ),22,нет,20190601-snovorossiisk.pdf,2019,
161,02.06.2019,"НОООЛЖ ""Фауна""",НИЖНИЙ НОВГОРОД,ПК,ЧАЙКОВСКАЯ ФЛЕРА (РОССИЯ),47,да,20190602-nn.pdf,2019,
162,08.06.2019,РОО «СЛЖ «НИКА» РБ»,УФА,КЧК,OLKOVA JULIYA (КАЗАХСТАН),16,https://www.facebook.com/media/set/?set=oa.1351868158300376&type=3,20190608-ufa.pdf,2019,
163,08.06.2019,"КРООЛЖР ""Радужный мир""",КОРКИНО,ПК,ПЕРШИНА ЕЛЕНА (РОССИЯ),41,https://www.facebook.com/media/set/?set=oa.1351903554963503&type=3,20190609-korkino.pdf,2019,
164,09.06.2019,"РОО КЛС ""ГОЛДРАЙЗ""",МОСКВА,КЧК,БЕЛКИНА ЕЛЕНА (РОССИЯ),11,нет,20190609-moscow.pdf,2019,
165,15.06.2019,ВРООЛЖ Золотое Кольцо,ВЛАДИМИР,ПК,КРЕМНЕВ МИХАИЛ (РОССИЯ),47,да,20190615-vladimir.pdf,2019,
166,22.06.2019,"ОО КПЦ ""КИНОС""",КИРОВ,КЧК,ГАВРИЛОВА ЯНА (РОССИЯ),21,да,20190622-kirov.pdf,2019,
167,29.06.2019,МГОО МГКСС,МАГНИТОГОРСК,ПК,ГЕРАСИМОВА МАРИНА (РОССИЯ),40,http://zooportal.pro/show/photos/6601817/?show_count=50,20190629-magnitogorsk.pdf,2019,
168,30.06.2019,"МОО КЛЖ ""Екселент""",МОСКВА,КЧК,ГВОЗДЕВА МАРИЯ (УКРАИНА),11,нет,20190630-moscow.pdf,2019,
169,07.07.2019,"ОО ""КЛС"" РМО ЯО",РЫБИНСК,КЧК,ПЕРМЯКОВ МИХАИЛ (РОССИЯ),30,да,20190707-rybinsk.pdf,2019,
170,14.07.2019,СООО НТКСС,СЕРОВ,ПК,КРЫЛОВА ЕКАТЕРИНА (РОССИЯ),62,https://www.facebook.com/samarinaoxana/media_set?set=a.2781707758569897&type=3,20190714-serov.pdf,2019,
171,28.07.2019,"КРКФОО ""Звезда Запада - Калининград""",КАЛИНИНГРАД,КЧК,MATEJEVIC NENAD (СЕРБИЯ),35,https://www.facebook.com/media/set/?set=oa.1425248547629003&type=3,20190728-kaliningrad.pdf,2019,
172,04.08.2019,МКОО «ЦЕНТРАЛЬНЫЙ КЛУБ МАСТИНО»,КОЛОМНА,КЧК,ГЛУХОВА ЛЮДМИЛА (РОССИЯ),15,https://www.facebook.com/media/set/?set=oa.1425268280960363&type=3,20190804-kolomna.pdf,2019,
173,04.08.2019,"НОООЛЖ ""Верный друг"" ",НИЖНИЙ НОВГОРОД,ПК,АБРАКИМОВ ШАМИЛЬ (РОССИЯ),40,https://www.facebook.com/media/set/?set=oa.1425259214294603&type=3,20190804-nizgniy-novgorod.pdf,2019,
174,10.08.2019,КЛЖ Ассамблея,САНКТ-ПЕТЕРБУРГ,КЧК,CLAUS-PETER FRICKE (ГЕРМАНИЯ),22,да,20190810-sankt-peterburg.pdf,2019,
175,17.08.2019,"РОО ""НОКП""",НИЖНИЙ НОВГОРОД,ПК,МУН ЛЮДМИЛА (РОССИЯ),44,https://www.facebook.com/media/set/?set=oa.1606388716181651&type=3,20190817-nizgniy-novgorod.pdf,2019,
176,18.08.2019,"ТГОО КЛЖ ""НИКА""",ТОБОЛЬСК,КЧК,ЧИСТЯКОВА ЛЮДМИЛА (РОССИЯ),12,да,20190818-tobolsk.pdf,2019,
177,07.09.2019,РОСТОВ-НА-ДОНУ,ОРО РКЛС,КЧК,ТРОФИМОВ ДМИТРИЙ (РОССИЯ),6,да,20190907-rostov-na-dony.pdf,2019,
178,08.09.2019,"СРООЛС ""КЛУБ СОБАКОВОДСТВА""",САРАТОВ,ПК,КУКОЛЕВА ЕЛЕНА (РОССИЯ),27,https://www.facebook.com/media/set/?set=oa.1425274884293036&type=3,20190908-saratov.pdf,2019,
179,08.09.2019,"КРОО ""Союз кинологов Вятки""",КИРОВ,КЧК,КРЕМНЕВ МИХАИЛ (РОССИЯ),18,https://www.facebook.com/media/set/?set=oa.1425467300940461&type=3,20190908-kirov.pdf,2019,
180,14.09.2019,ПКЛС,МО ПУШКИНО,ПК,ТРИФОНОВА ИРИНА (РОССИЯ),20,да,20190914-pushkino.pdf,2019,
181,14.09.2019,"СПБ РОО КЦ ""Триада Л""",САНКТ-ПЕТЕРБУРГ,КЧК,ANNELI SUTELA (FINLAND),15,нет,20190914-sankt-peterburg.pdf,2019,
182,22.09.2019,"""Красный Яр""",КРАСНОЯРСК,ПК,ВЕРЕМЧУК НАТАЛЬЯ (РОССИЯ),52,https://www.facebook.com/profile.php?id=100001931391819&sk=media_set&set=a.3002589999815350&type=3,20190922-krasnoyarsk.pdf,2019,
183,22.09.2019,"ЗГООЛЖиР"" Планета Эльф""",ЗЛАТОУСТ,ПК,ДИВЕЛЬ ЛИЛИЯ (РОССИЯ),46,https://74.ru/forum/message.php?id=16134034,20190922-zlatoust.pdf,2019,
184,22.09.2019,"РОО ПЦС ""Севастополь""",СЕВАСТОПОЛЬ,КЧК,БАЛАШОВА НАТАЛЬЯ (РОССИЯ),2,да,20190922-sevastopol.pdf,2019,
185,28.09.2019,КГОЛС,КРАСНОДАР,КЧК,БАКЛУШИН ГЕОРГИЙ (РОССИЯ),16,нет,20190928-krasnodar.pdf,2019,
186,29.09.2019,"КРКОО ""СКИФ""",СИМФЕРОПОЛЬ,КЧК,БАРБОСОВ КИРИЛЛ (РОССИЯ),7,нет,20190929-simferopol.pdf,2019,
187,29.09.2019,ОО ПККСС,ВЛАДИВОСТОК,КЧК,WANG ZHIWEI (КИТАЙ),26,нет,20190929-vladivostok.pdf,2019,
188,05.10.2019,ГОО КС Лидер,НОВОСИБИРСК,КЧК,АБРАКИМОВ ШАМИЛЬ (РОССИЯ),19,нет,20191005-novosibirsk.pdf,2019,
189,06.10.2019,"УГДООЛЖ ""АРТО""",УСОЛЬЕ-СИБИРСКОЕ,КЧК,ЛАКАТОШ ЮЛИЯ (РОССИЯ),16,нет,20191006-usolie-sibirskoe.pdf,2019,
190,06.10.2019,"БГОО ""КСиЛС""",БИЙСК,ПК,КАРЕТНИКОВА ОЛЬГА (РОССИЯ),23,https://www.facebook.com/media/set/?set=oa.1448732861947238&type=3,20191006-biisk.pdf,2019,
191,06.10.2019,"КООКО ""Курган-Град""",КУРГАН,ПК,WIEREMIEJCZYK-WIERZCHOWSKA MALGORZATA (ПОЛЬША),52,https://www.facebook.com/media/set/?set=oa.1451966284957229&type=3,20191006-kurgan.pdf,2019,
192,12.10.2019,"МКОО ""ТРЕЙЛ""",МО ПОДОЛЬСК,КЧК,ЛОГИНОВ АЛЕКСАНДР (РОССИЯ),14,https://www.facebook.com/media/set/?set=oa.1448741198613071&type=3,20191012-podolsk.pdf,2019,
193,12.10.2019,МОООЛС Венец Колымы,МАГАДАН,КЧК,ОВСЯННИКОВА ЮЛИЯ (РОССИЯ),16,https://www.facebook.com/media/set/?set=oa.1463844853769372&type=3,20191012-magadan.pdf,2019,
194,12.10.2019,МОО КЦ,СЕВАСТОПОЛЬ,КЧК,КРУЦЕНКО ЕЛЕНА (РОССИЯ),8,https://www.facebook.com/media/set/?set=oa.1456959584457899&type=3,20191012-sevastopol.pdf,2019,
195,12.10.2019,"РОО КЛС ""СПАРС""",САНКТ-ПЕТЕРБУРГ,КЧК,RAFAEL GARCIA PARRONDO,29,нет,20191012-sankt-peterburg.pdf,2019,
196,12.10.2019,"ПКОЛСИК ""Королевский клуб""",ВЛАДИВОСТОК,ПК,SEI-ICHIRO ISHIMARU (ЯПОНИЯ),34,https://www.facebook.com/media/set/?set=oa.1507927276027796&type=3,20191012-vladivostok.pdf,2019,
197,13.10.2019,"ОО СВЖ ""Виктория"" г. Рыбинск",РЫБИНСК,ПК,СОЛОВЬЕВА ИРИНА (РОССИЯ),38,https://www.facebook.com/media/set/?set=oa.1465583130262211&type=3,20191013-rybinsk.pdf,2019,
198,19.10.2019,"ТГОО КК ""Гардиан""",ТУЛА,КЧК,ОСТРОВСКАЯ МАРИНА (РОССИЯ),8,https://www.facebook.com/media/set/?set=oa.1451970774956780&type=3,20191019-tula.pdf,2019,
199,20.10.2019,ООКК,ОРЕЛ,ПК,КРЕМНЕВ МИХАИЛ (РОССИЯ),25,"https://youtu.be/GMKnzuVjz-s 
https://youtu.be/eVKT8pNggWg ",20191020-kursk.pdf,2019,
200,20.10.2019,МКОО «АТЛАНТИДА»,ЧЕЛЯБИНСК,КЧК,TODOROVIC ZELJKO (РОССИЯ),25,https://www.facebook.com/media/set/?set=oa.1456976084456249&type=3,20191020-chelyabinsk.pdf,2019,
201,20.10.2019,"СООО КЦ ""АВРОРА""",САМАРА,ПК,БЕССАРАБОВА ОЛЬГА (РОССИЯ),54,нет,20191020-samara.pdf,2019,
202,26.10.2019,СПб ОО «КЛС «Невский Бриз»,САНКТ-ПЕТЕРБУРГ,КЧК,OTAKAR VONDROUS (ЧЕХИЯ),27,да,20191026-sankt-peterburg.pdf,2019,
203,26.10.2019,"НГКО ""ЮВАТ""",НОВОКУЗНЕЦК,КЧК,ГРИГОРЕНКО ТАТЬЯНА (РОССИЯ),35,https://www.facebook.com/media/set/?set=oa.1469619129858611&type=3,20191026-novokuznetsk.pdf,2019,
204,09.11.2019,ЧРООСЛ,ЧЕЛЯБИНСК,КЧК,КРЫЛОВА ЕКАТЕРИНА (РОССИЯ),21,http://www.klub-laika.ru/photo/vistavky/mono_nemeckij_shpic_2019/13,20191109-chelyabinsk.pdf,2019,
205,17.11.2019,"РОО ""НордВест""",САНКТ-ПЕТЕРБУРГ,ПК,ОГАНОВА НАТАЛЬЯ (РОССИЯ),46,https://www.facebook.com/media/set/?set=oa.1490814161072441&type=3,20191117-sankt-peterburg.pdf,2019,
206,24.11.2019,КАГК,КАЗАНЬ,КЧК,КОЗИНА ЕЛЕНА (РОССИЯ),15,https://www.facebook.com/media/set/?set=oa.1490824734404717&type=3,20191124-kazan.pdf,2019,
207,24.11.2019,СООКО ЕКАТЕРИНБУРГ,НИЖНИЙ ТАГИЛ,ПК,ОЛЬКОВА ЮЛИЯ (КАЗАХСТАН),68,http://zooportal.pro/show/photos/8369701/,20191124-nizhniy-tagil.pdf,2019,
208,24.11.2019,"ИГОО ""Ангара""",ИРКУТСК,ПК,ДУДКО ДЕНИС (БЕЛАРУСЬ),44,да,20191124-irkutsk.pdf,2019,
209,24.11.2019,КОКС,КОСТРОМА,КЧК,ОВСЯННИКОВА ЮЛИЯ (РОССИЯ),18,https://www.facebook.com/media/set/?set=oa.1507601116060412&type=3,20191124-kostroma.pdf,2019,
210,30.11.2019,УРКС,ПЕРМЬ,КЧК,СЕДЫХ Н.Е. (РОССИЯ),21,http://zooportal.pro/show/photos/6502662/,20191130-perm.pdf,2019,
211,30.11.2019,"МОО"" ЦЛЖ"" КАПИТОЛИЙ",САНКТ-ПЕТЕРБУРГ,КЧК,ГОРОДИЛОВ СТАНИСЛАВ (РОССИЯ),29,https://www.facebook.com/media/set/?set=oa.1509521122535078&type=3,20191130-sankt-peterburg.pdf,2019,
212,01.12.2019,"ООО ""РКК""",МОСКВА,ПК,JEAN-CLAUDE KLEIN (ФРАНЦИЯ),49,нет,20191201-moscow.pdf,2019,
213,01.12.2019,"КС и ЛС ""ФАВОРИТ""",ЕКАТЕРИНБУРГ,КЧК,КУПЛЯУСКАС ЕВГЕНИЙ (РОССИЯ),34,https://www.facebook.com/media/set/?set=oa.1507592096061314&type=3,20191130-ekaterinburg.pdf,2019,
214,07.12.2019,"СРОО ""КСВП ""Бэст""",ЮЖНО-САХАЛИНСК,КЧК,DUSAN PAUNOVIC (РОССИЯ),18,https://www.facebook.com/media/set/?set=oa.1507604606060063&type=3,20191207-sakhalin.pdf,2019,
215,07.12.2019,"РКОО ""КС ""Гармония""",МОСКВА,КЧК,ПРОЗОРОВ ДМИТРИЙ (РОССИЯ),13,https://www.facebook.com/media/set/?set=oa.1507630152724175&type=3,20191207-moscow.pdf,2019,
216,08.12.2019,"МОО ""Кинология""",МОСКВА,КЧК,ЧАЙКОВСКАЯ ФЛЕРА (РОССИЯ),26,да,20191208-moscow.pdf,2019,
217,14.12.2019,"ОО""ДКС""НО","НИЖЕГОРОДСКАЯ ОБЛ., ДЗЕРЖИНСК",КЧК,ОСТРОВСКАЯ МАРИНА (РОССИЯ),26,https://www.facebook.com/media/set/?set=oa.1527943070692883&type=3,20191214-dzerginsk.pdf,2019,
218,14.12.2019,КЛС «ЧЕМПИОН»,НОВОСИБИРСК,КЧК,КРАКОВСКАЯ ЛЮДМИЛА (РОССИЯ),19,нет,20191214-novosibirsk.pdf,2019,
219,14.12.2019,"КРОО""""КЛЖ""ЭНИМАЛ""",КОСТРОМА,КЧК,ОЛЬКОВА ЮЛИЯ (КАЗАХСТАН),12,нет,20191214-kostoma.pdf,2019,
220,15.12.2019,ККФ,КРАСНОДАР,ПК,ЧИСТЯКОВА ЛЮДМИЛА (РОССИЯ),26,https://www.facebook.com/media/set/?set=oa.1517013245119199&type=3,20191215-krasnodar.pdf,2019,
221,15.12.2019,"ПКОО КЦ ""БРАНД""",ПЕРМЬ,ПК,MASALEVICHENE NATALYA (КАЗАХСТАН),60,да,20191512-perm.pdf,2019,
222,15.12.2019,ККСС,КРАСНОЯРСК,КЧК,РОДИНА ИНЕССА (РОССИЯ),26,https://www.facebook.com/media/set/?set=oa.1527950464025477&type=3,20191215-krasnoyarsk.pdf,2019,
223,15.12.2019,"ПРОО КЛЖ ""ЭГИДА""",ПЕНЗА,КЧК,ЛАКАТОШ ЮЛИЯ (РОССИЯ),17,https://www.facebook.com/media/set/?set=oa.1527947904025733&type=3,20191215-penza.pdf,2019,
224,22.12.2019,"МООК ""ОЛИМП""",МОСКВА,ПК,ОВСЯННИКОВА ЮЛИЯ (РОССИЯ),46,https://www.facebook.com/media/set/?set=oa.1527957564024767&type=3,20191222-moscow.pdf,2019,
225,22.12.2019,ЗОО ККОО ВООП,КРАСНОДАР,КЧК,МИЩЕНКО ЕЛЕНА (РОССИЯ),14,https://yadi.sk/i/M9pCX2BXtj6H6g,20191222-krasnodar.pdf,2019,
226,08.01.2020,"ОО ""КО СО ""ТЕРРА""",ЕКАТЕРИНБУРГ,КЧК,СЕДЫХ Н.Е. (РОССИЯ),45,нет,20200108-ekaterinburg.pdf,2020,
227,12.01.2020,"ОГОО ""ГКСС г. ОЗЕРСКА ЧЕЛЯБИНСКОЙ ОБЛ.""",КАСЛИ,КЧК,БЕЛКИН АЛЕКСЕЙ (РОССИЯ),21,https://www.facebook.com/vna.chai/media_set?set=a.2997413766976300&type=3,20200112-ozersk.pdf,2020,
228,18.01.2020,"УГОО СКЦ ""ИМПЕРИАЛ""",УЛЬЯНОВСК,КЧК,ГЛУХОВА ЛЮДМИЛА (РОССИЯ),27,нет,20200118-ulianovsk.pdf,2020,
229,19.01.2020,"НООО ""КЦ - НИКА""",НИЖНИЙ НОВГОРОД,КЧК,КИРКИЦКАЯ ГАЛИНА (РОССИЯ),22,https://www.facebook.com/media/set/?set=oa.1551493881671135&type=3,20200119-nizniy-novgorod.pdf,2020,
230,19.01.2020,"К.Л.Ж. ""ПЕТЕРБУРГ""",САНКТ-ПЕТЕРБУРГ,КЧК,СЕДЫХ НИКОЛАЙ (РОССИЯ),18,https://www.facebook.com/media/set/?set=oa.1551487398338450&type=3,20200119-sankt-peterburg.pdf,2020,
231,19.01.2020,"ЧГОО КЛЖ ""АРГУС""",ЧЕРЕПОВЕЦ,КЧК,АБРАКИМОВ ШАМИЛЬ (РОССИЯ),30,нет,20200119-cherepovec.pdf,2020,
232,19.01.2020,"НГООС ""ЦЕНТР НЕМЕЦКИХ
ПОРОД""",НОВОСИБИРСК,КЧК,POPOV STEFAN (РОССИЯ),25,https://www.facebook.com/media/set/?set=oa.1559678550852668&type=3,20200119-novosibirsk.pdf,2020,
233,26.01.2020,"ВГОО ""ЦЕНТР ПО ДРЕССИРОВКЕ И
РАЗВЕДЕНИЮ СОБАК ""СОЗВЕЗДИЕ""",ВОРОНЕЖ,КЧК,ШАЙХУДИНОВ ЕВГЕНИЙ (РОССИЯ),26,https://www.facebook.com/groups/472730069547527/permalink/1563973233756533/,20200126-voronezh.pdf,2020,
234,26.01.2020,"КЛУБ ""МОЛОСС""",НОВОСИБИРСК,КЧК,MILE ALEKSOSKI (МАКЕДОНИЯ),23,https://www.facebook.com/profile.php?id=100002059138191&sk=media_set&set=a.2730785797000031&type=3,20200126-novosibirsk.pdf,2020,
235,02.02.2020,"НГКС ""СЕНАТ""",НОВОСИБИРСК,КЧК,ЕРУСАЛИМСКИЙ ЕВГЕНИЙ (РОССИЯ),19,https://www.facebook.com/media/set/?set=oa.1562283500592173&type=3,20200202-novosibirsk.pdf,2020,
236,08.02.2020,"МКОО ""НОРД""",МОСКВА,КЧК,RAFAEL GARSIA PARRONDO (ИСПАНИЯ),14,да,20200208-moscow.pdf,2020,
237,16.02.2020,"НГООЛС КЛУБ ""АКТИОН""",НОВОСИБИРСК,КЧК,МАКСИМОВА НАТАЛИЯ (КИРГИЗИЯ),26,https://www.facebook.com/media/set/?set=oa.1571819536305236&type=3,20200216-novosibirsk.pdf,2020,
238,16.02.2020,"НГОО ""КC ""ЛОРАНС""",НОВОСИБИРСК,КЧК,КЕББЕЛЬ ЛЮДМИЛА (РОССИЯ),16,нет,20200216-novosibirsk-2.pdf,2020,
239,16.02.2020,"ТГОО КС ""ЛАДА""",ТОЛЬЯТТИ,КЧК,ЛАКАТОШ ЮЛИЯ (РОССИЯ),28,https://www.facebook.com/media/set/?set=oa.1582854965201693&type=3,20200216-toliatti.pdf,2020,
240,22.02.2020,"СООО ""ЕКК ""ВИННЕР""",ЕКАТЕРИНБУРГ,КЧК в каждом классе,STEFANESCU CRISTIAN (РУМЫНИЯ),50,https://www.facebook.com/media/set/?set=oa.1577802875706902&type=3,20200222-ekaterinburg.pdf,2020,
241,23.02.2020,"ВРОО КСОДП ""ФЕНИКС""",ВОРОНЕЖ,КЧК,ЛОГИНОВ АЛЕКСАНДР (РОССИЯ),19,https://www.facebook.com/media/set/?set=oa.1604384283048761&type=3,20200223-voronezh.pdf,2020,
242,29.02.2020,"РОО ""КЦ ""ТРИУМФ""",КОТЛАС,КЧК,ОСТРОВСКАЯ МАРИНА (РОССИЯ),15,https://vk.com/album-20176644_269273916,20200301-kotlas.pdf,2020,
243,01.03.2020,"ИООО ПКЦ ""ДЕР ХУНД""",ИВАНОВО,КЧК,ЧИСТЯКОВА ЛЮДМИЛА (РОССИЯ),13,https://www.facebook.com/media/set/?set=oa.1592168587603664&type=3,20200301-ivanovo.pdf,2020,
244,01.03.2020,"ООМРКЛСК ""ЗООЦЕНТР""",САРАНСК,КЧК,КРАКОВСКАЯ ЛЮДМИЛА (РОССИЯ),26,https://www.facebook.com/media/set/?set=oa.1600860183401171&type=3,20200301-saransk-1.pdf,2020,
245,01.03.2020,"ООМРКЛСК ""ЗООЦЕНТР""",САРАНСК,КЧК,AGABEJLI ZAUR (АЗЕРБАЙДЖАН),23,https://www.facebook.com/media/set/?set=oa.1600863316734191&type=3,20200301-saransk-2.pdf,2020,
246,07.03.2020,"ООРЯО ""КЛУБ ЛЮБИТЕЛЕЙ
СОБАКОВОДСТВА""",РЫБИНСК,КЧК,ФЕДОРОВ ВАЛЕНТИН (РОССИЯ),26,http://zooportal.pro/show/photos/8832948/,20200307-rybinsk.pdf,2020,
247,14.03.2020,"РОО ЦЛЖ ""ЛИДЕР И ПРЕСТИЖ""",МОСКВА,ПК-2020,"САРМОНТ ТАМАРА (БЕЛАРУСЬ), ОГАНОВА ГАЛИНА (РОССИЯ)",163,"https://www.facebook.com/media/set/?set=oa.1592302470923609&type=3, https://www.facebook.com/media/set/?set=oa.1592308210923035&type=3",20200314-moscow.pdf,2020,
248,15.03.2020,"ХКОЛЖ ""РЕГИОН ДВ""",Хабаровск,КЧК,ИВАНОВА ЛАРИСА (РОССИЯ),31,да,20200315-khabarovsk.pdf,2020,
249,22.03.2020,"ТГОО КЛЖ ""НИКА""",ТОБОЛЬСК,КЧК,СУСЛОВА ЕЛЕНА (РОССИЯ),18,https://www.facebook.com/media/set/?set=oa.1613543265466196&type=3,20200322-tobolsk.pdf,2020,
250,11.07.2020,"БГОО ""КСИЛС""",Бийск,КЧК в каждом классе,ГРИГОРЬЕВА НАДЕЖДА (РОССИЯ),22,https://www.facebook.com/media/set/?set=oa.1718485898305265&type=3,20201107-biisk-1.pdf,2020,
251,11.07.2020,"БГОО ""КСИЛС""",Бийск,КЧК,ЗУБКОВА ЛЮДМИЛА (РОССИЯ),18,https://www.facebook.com/media/set/?set=oa.1718510198302835&type=3,20201107-biisk-2.pdf,2020,
