Дата начала,Дата окончания,Ранг,Город проведения,Название клуба,Федерация,Контакты,E-mail,Телефон,reviews,собак на выставке,Когда должны сдать отчет,Когда прислали отчет,"ринговые ведомости, каталог",Фотоотчет?,Проблема?,Задержка?,Одобрено Светланой,Взнос за обработку выставки,Перечислено Светлане,contacts,,,,
29.08.2020,29.08.2020,КЧК,Владимир,"ВРООЛЖ ""ЗОЛОТОЕ КОЛЬЦО""",РФЛС,goldring33@mail.ru; 89308303065,goldring33@mail.ru,89308303065,,,19.09.2020,,,,,,,,,,,,,КЧК
29.08.2020,29.08.2020,КЧК В КАЖДОМ КЛАССЕ,Череповец,"ЧГОО ""ЧЕРЕПОВЕЦКИЙ КИНОЛОГИЧЕСКИЙ
ЦЕНТР ""АЛМАЗНАЯ КОРОНА""",РФСС,koroleva2003@bk.ru; 89210593761,koroleva2003@bk.ru,89210593761,,,19.09.2020,,,,,,,,,,,,,КЧК
29.08.2020,29.08.2020,КЧК В КАЖДОМ КЛАССЕ,Красноярск,"РООКК ""ОЛЖ ""СИРИУС""",РФЛС,Sirius-ds@yandex.ru; 89135299015,Sirius-ds@yandex.ru,89135299015,,,19.09.2020,,,,,,,,,,,,,КЧК
29.08.2020,30.08.2020,КЧК,Коркино,"КРООЛЖР ""РАДУЖНЫЙ МИР""",РФЛС,shantella@yandex.ru; 89080627525,shantella@yandex.ru,89080627525,,,20.09.2020,,,,,,,300,,,,,,КЧК в каждом классе
29.08.2020,30.08.2020,КЧК В КАЖДОМ КЛАССЕ,Южно-Сахалинск,"СРОО ""КФЦ ""КРЕДО ПЛЮС""",ОАНКОО,kredoplus65@gmail.ru; 89621202715,kredoplus65@gmail.ru,89621202715,,,20.09.2020,,,,,,,,,,,,,КЧК
29.08.2020,30.08.2020,Отмена,Казань,"ОО КГ КЛЖ ""ФАУНА""",РФЛС,"fauna-kazan@mail.ru, salmatci@mail.ru; 88178874442, 89600523959","fauna-kazan@mail.ru, salmatci@mail.ru"," 88178874442, 89600523959",,,20.09.2020,,,,,,,,,,,,,КЧК
05.09.2020,05.09.2020,КЧК,"МО, Коломна","МОРОО ""ДПКЦ ""ПОЛЯРНАЯ ЗВЕЗДА""",РФСС,"diana.gul@mail.ru; 89858431604, 84964045506",diana.gul@mail.ru," 89858431604, 84964045506",,8,26.09.2020,,,,,,,,,,,,,КЧК
05.09.2020,06.09.2020,КЧК В КАЖДОМ КЛАССЕ,Самара,"ГОО ОПК ""ЗООКЛУБ""",ОАНКОО,samarzooclub@lis.ru; 89171029087,samarzooclub@lis.ru,89171029087,,24,27.09.2020,,,,,,,,,,,,,КЧК
05.09.2020,06.09.2020,КЧК,Саратов,"СРООЛС ""КЛУБ СОБАКОВОДСТВА""",РФСС,rfss-saratov@mail.ru; 89063165668,rfss-saratov@mail.ru,89063165668,,,27.09.2020,,,,,,,,,,,,,КЧК
05.09.2020,06.09.2020,КЧК,Хабаровск,ХГОО И Р,РФСС,"lugovskaya38@yandex.ru; 89625005831, 84212305477",lugovskaya38@yandex.ru," 89625005831, 84212305477",,30,27.09.2020,,,,,,,,,,,,,КЧК в каждом классе
05.09.2020,06.09.2020,КЧК,Краснодар,ККОБО КЗЖ,РФСС,zookrd@bk.ru; 89180799101,zookrd@bk.ru,89180799101,,,27.09.2020,,,,,,,,,,,,,КЧК
,,,,,,,,,,,,,,,,,,,,,,,,
12.09.2020,12.09.2020,КЧК В КАЖДОМ КЛАССЕ,Уфа,"РОО ""КФ РБ""",РФСС,"kfrb@mail.ru; 83472745535, 89174261518",kfrb@mail.ru," 83472745535, 89174261518",оплачено Свете,17,03.10.2020,,,,,,,,,,,,,КЧК
12.09.2020,13.09.2020,КЧК,Красноярск,"КРООЛЖ ""ХЕЛЕН`С ПРАУД""
(ГОРДОСТЬ ЕЛЕНЫ)",РФЛС,"HPD@mail.ru; 89130314432, 83912583442",HPD@mail.ru," 89130314432, 83912583442",,,04.10.2020,,,,,,,,,,,,,КЧК
12.09.2020,12.09.2020,КЧК В КАЖДОМ КЛАССЕ,Рыбинск,"РОО ""ОБЩЕСТВО ЛЮБИТЕЛЕЙ
ЖИВОТНЫХ""",РФЛС,ketly@bk.ru; 89806562130,ketly@bk.ru,89806562130,поделили цвергов!,18,03.10.2020,,,,,,,,,,,,,КЧК
12.9.2020,12.9.2020,КЧК В КАЖДОМ КЛАССЕ,Санкт-Петербург,"СПБРОО ""КЦ ""СЕВЕРНАЯ ВЕНЕЦИЯ""",РФОС,"sony-boni@mail.ru; 89052151535, 89219804955",sony-boni@mail.ru," 89052151535, 89219804955",оплачено Лене,,03.10.2020,,,,,,,300,300,,,,,КЧК
13.9.2020,13.9.2020,КЧК,Санкт-Петербург,"СПБ РОО ""ТРИАДА Л""",РФСС,"kamalakshmi@yandex.ru; 89112897101, 88125118279",kamalakshmi@yandex.ru," 89112897101, 88125118279",оплачено Свете,4,04.10.2020,"24,09,2020",полный,нет,,,,,,,,,,КЧК
13.09.2020,13.09.2020,КЧК,Казань,"РОО ""КСС РТ""",РФЛС,hendling.centr@mail.ru; 89172888830,hendling.centr@mail.ru,89172888830,,15,04.10.2020,,,,,,,,,,,,,КЧК
13.09.2020,13.09.2020,КЧК,Старый Оскол,"БРОО ККЛС ""СЕРЕБРЯНЫЙ ДОЖДЬ""",,,caciba@yandex.ru,,,18,,,,"Вообще не знаю, откуда взялась эта моно! Прислали отчёт..",,,,,,,,,,
19.09.2020,20.09.2020,КЧК В КАЖДОМ КЛАССЕ,Тюмень,ТООЛЖ,РФЛС,"209859@mail.ru, toolj@mail.ru; 83452265286, 89044977505","209859@mail.ru, toolj@mail.ru"," 83452265286, 89044977505",Белкин А.,,11.10.2020,,,,,,,,,,,,,КЧК
19.09.2020,19.09.2020,КЧК,Находка,"НОО ""КЛУБ ЛЖ ""ВОСТОК-ФАВОРИТ""",РФЛС,natalia_arbuzova@mail.ru; 89146869387,natalia_arbuzova@mail.ru,89146869387,,?,10.10.2020,01.10.2020,"Пока толком ничего не прислали, одну пустую ведомость, ни каталога, ни фото.",,,,,,,,,,,КЧК
19.09.2020,19.09.2020,КЧК,Санкт-Петербург,"ОО ""САНКТ-ПЕТЕРБУРГСКИЙ ЦЕНТР ВОСТОЧНО-ЕВРОПЕЙСКОЙ ОВЧАРКИ И ДРУГИХ ПОРОД""",РФСС,"spbcveo@yandex.ru, franniteil@rambler.ru; 88123951646, 89119376819","spbcveo@yandex.ru, franniteil@rambler.ru"," 88123951646, 89119376819",,,10.10.2020,,,,,,,,,,,,,КЧК
20.09.2020,20.09.2020,КЧК,Пятигорск,"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ
""ПЯТИГОРСКИЙ КЛУБ
СОБАКОВОДСТВА ""КАВКАЗ""",РФСС,"klubkavkaz@yandex.ru; 89289119254, 89283374598, 89054913324",klubkavkaz@yandex.ru," 89289119254, 89283374598, 89054913324",,,11.10.2020,,,,,,,,,,,,,КЧК
20.09.2020,20.09.2020,КЧК,Волгоград,"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ
ОРГРАНИЗАЦИЯ ""ВАК""",РФСС,"furor_2010@mail.ru; 89033154337, 89023622656",furor_2010@mail.ru," 89033154337, 89023622656",поделили цвергов!,11,11.10.2020,,,,,,,,,,,,,КЧК
20.09.2020,20.09.2020,КЧК,Волгоград,ВООО ВУСКСС,ОАНКОО,vouskss@yandex.ru; 89093776961,vouskss@yandex.ru,89093776961,оплачено,,11.10.2020,,"ринговые ведомости недозаполненные, без подписи и печати, это позиция клуба.",,,,,,,,,,,КЧК в каждом классе
20.09.2020,20.09.2020,КЧК,Севастополь,РОО ПЦС СЕВАСТОПОЛЬ,ОАНКОО,Sevania2001@mail.ru; 89787595972,Sevania2001@mail.ru,89787595972,,,11.10.2020,,,,,,,,,,,,,КЧК
20.09.2020,20.09.2020,КЧК В КАЖДОМ КЛАССЕ,Красноярск,"КРОО ""КК ""КРАСНЫЙ ЯР""",РФЛС,skvortsova50@mail.ru; 89059746691,skvortsova50@mail.ru,89059746691,,,11.10.2020,,,,,,,,,,,,,КЧК
26.09.2020,27.09.2020,КЧК В КАЖДОМ КЛАССЕ,Златоуст,"ЗГООЛЖИР ""ПЛАНЕТА ЭЛЬФ""",РФСС,braska2000@yandex.ru; 89507238856,braska2000@yandex.ru,89507238856,,,18.10.2020,,,,,,,,,,,,,КЧК
26.09.2020,27.09.2020,КЧК,Москва,"РОО ""КК ""ПЛАНЕТА СОБАК""",РФЛС,planeta-sobak@mail.ru; 89096368181,planeta-sobak@mail.ru,89096368181,,,18.10.2020,,,,,,,,,,,,,КЧК в каждом классе
27.09.2020,27.09.2020,КЧК В КАЖДОМ КЛАССЕ,Самара,"СООО ""СОЮЗ КИНОЛОГОВ""",РФЛС,"info@dogcanis.ru matildacircus@mail.ru; 89022908049, 88463363605, 89991705146",info@dogcanis.ru matildacircus@mail.ru," 89022908049, 88463363605, 89991705146",,,18.10.2020,,,,,,,,,,,,,КЧК
03.10.2020,03.10.2020,КЧК,Тула,"ТРОООЛС ""КИНОЛОГИЧЕСКИЙ ЦЕНТР
""ТРИУМФ""",РФСС,sheltrok@yandex.ru; 89109457899,sheltrok@yandex.ru,89109457899,,,24.10.2020,,,,,,,,,,,,,КЧК
03.10.2020,04.10.2020,КЧК В КАЖДОМ КЛАССЕ,"МО, Подольск","МКОО ""ТРЕЙЛ""",РФСС,hint1985@inbox.ru; 89037189520,hint1985@inbox.ru,89037189520,,,25.10.2020,,,,,,,,,,,,,КЧК в каждом классе
03.10.2020,04.10.2020,КЧК,Нижний Тагил,"СООКО ""ЕКАТЕРИНБУРГ""",РФСС,admin@ekbkinolog.club; 89222046657,admin@ekbkinolog.club,89222046657,,,25.10.2020,,,,,,,,,,,,,КЧК
03.10.2020,04.10.2020,КЧК,Санкт-Петербург,"ЛО РОО КЛЖ ""АСКОНА""",РФЛС,"askona@bk.ru; 88129843201, 89052123008",askona@bk.ru," 88129843201, 89052123008",,,25.10.2020,,,,,,,,,,,,,КЧК
03.10.2020,04.10.2020,КЧК,Новосибирск,"ГОО КЛУБ СОБАКОВОДОВ ""ЛИДЕР""",ОАНКОО,3751474@mail.ru; 89237751474,3751474@mail.ru,89237751474,,,25.10.2020,,,,,,,,,,,,,КЧК
10.10.2020,11.10.2020,КЧК,Магадан,"МАГАДАНСКАЯ ОБЛАСТНАЯ
ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ
ЛЮБИТЕЛЬСКОГО СОБАКОВОДСТВА
""ВЕНЕЦ КОЛЫМЫ""",РФЛС,"zhesuz.mag@yandex.ru, tigran-magadan@mail.ru; 89246915102, 89148692085","zhesuz.mag@yandex.ru, tigran-magadan@mail.ru"," 89246915102, 89148692085",,,01.11.2020,,,,,,,,,,,,,КЧК
10.10.2020,11.10.2020,КЧК В КАЖДОМ КЛАССЕ,Рыбинск,"ОО ""СВЖ ""ВИКТОРИЯ"" РЯО",ОАНКОО,"viktoria-dogclub@yandex.ru; 89108152363, 89159973879",viktoria-dogclub@yandex.ru," 89108152363, 89159973879",,,01.11.2020,,,,,,,,,,,,,КЧК
10.10.2020,11.10.2020,КЧК,Майкоп,"АРРОО ""КЦ""",РФЛС,"svoshoda@mail.ru; 89034652995, 89284637270",svoshoda@mail.ru," 89034652995, 89284637270",,,01.11.2020,,,,,,,,,,,,,КЧК
11.10.2020,11.10.2020,КЧК В КАЖДОМ КЛАССЕ,Саранск,ЗООЦЕНТР,РФСС,,,,,,01.11.2020,,,,,,,,,,,,,КЧК
11.10.2020,11.10.2020,КЧК,Новокузнецк,"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ
""НОВОКУЗНЕЦКИЙ ГОРОДСКОЙ КЛУБ
ЛЮБИТЕЛЬСКОГО СОБАКОВОДСТВА""",РФЛС,"sarbalensi@mail.ru, imperiy4@mail.ru; 89059950726, 89039415295","sarbalensi@mail.ru, imperiy4@mail.ru"," 89059950726, 89039415295",,,01.11.2020,,,,,,,,,,,,,КЧК
11.10.2020,11.10.2020,КЧК В КАЖДОМ КЛАССЕ,Санкт-Петербург,"МОО ""ЦЛЖ ""КАПИТОЛИЙ""",РФЛС,kapitolyspb@mail.ru; 89052609225,kapitolyspb@mail.ru,89052609225,,,01.11.2020,,,,,,,,,,,,,КЧК
12.10.2020,12.10.2020,КЧК В КАЖДОМ КЛАССЕ,Севастополь,"МОО ""КЦ""",РФСС,"dosaaf.sev@yandex.ru; 89787399061, 88692404344",dosaaf.sev@yandex.ru," 89787399061, 88692404344",,,02.11.2020,,,,,,,,,,,,,КЧК
17.10.2020,17.10.2020,КЧК В КАЖДОМ КЛАССЕ,Москва,"МООК ""ОЛИМП""",РФСС,"otrada_2000@mail.ru; 84999075570, 89166039580, 89104027386",otrada_2000@mail.ru," 84999075570, 89166039580, 89104027386",,,07.11.2020,,,,,,,,,,,,,КЧК
17.10.2020,17.10.2020,КЧК,Орел,ООКК,РФЛС,"dogs_ookk@mail.ru; 84862721370, 89107472739, 89996029364",dogs_ookk@mail.ru," 84862721370, 89107472739, 89996029364",,,07.11.2020,,,,,,,,,,,,,КЧК
17.10.2020,18.10.2020,КЧК,Владивосток,"ПКОО КЦ ""КОМПАНЬОН""",РФСС,serdte_ok@list.ru; 89025055957,serdte_ok@list.ru,89025055957,,,08.11.2020,,,,,,,,,,,,,КЧК
17.10.2020,18.10.2020,КЧК,Челябинск,"МКОО ""АТЛАНТИДА""",РФЛС,"olimp2003@yandex.ru; 89049784494, 89128945660",olimp2003@yandex.ru," 89049784494, 89128945660",,,08.11.2020,,,,,,,,,,,,,КЧК
17.10.2020,18.10.2020,КЧК,Ангарск,"АГДООЛЖ ""ОЛЬХОН""",ОАНКОО,"olhonkennel@rambler.ru; 83955612577, 89149516712",olhonkennel@rambler.ru," 83955612577, 89149516712",,,08.11.2020,,,,,,,,,,,,,КЧК
24.10.2020,25.10.2020,КЧК,Саратов,"СРОО ""СОЦПОИЛС""",ОАНКОО,566597i@mail.ru; 89033817883,566597i@mail.ru,89033817883,,,15.11.2020,,,,,,,,,,,,,КЧК
24.10.2020,25.10.2020,КЧК,Калининград,"КРОО ""КАЛИНИНГРАДСКИЙ КЕННЕЛ
КЛУБ""",РФЛС,M.B.Nabieva@yandex.ru; 89212617212,M.B.Nabieva@yandex.ru,89212617212,,,15.11.2020,,,,,,,,,,,,,КЧК
31.10.2020,31.10.2020,КЧК В КАЖДОМ КЛАССЕ,Новый Уренгой,"ОО ""ЦЛЖ ""ТЮЛОС"" Г.НОВЫЙ УРЕНГОЙ",ОАНКОО,nurengoyclub@mail.ru; 89224647393,nurengoyclub@mail.ru,89224647393,,,21.11.2020,,,,,,,,,,,,,КЧК в каждом классе
31.10.2020,01.11.2020,КЧК В КАЖДОМ КЛАССЕ,Сызрань,"КЛПС ""КИНОЛОГИЯ""",РФЛС,Syzran-kinologiya@yandex.ru; 89063447900,Syzran-kinologiya@yandex.ru,89063447900,,,22.11.2020,,,,,,,,,,,,,КЧК в каждом классе
31.10.2020,31.10.2020,КЧК,Санкт-Петербург,"СПОКО ""ВУДФАЛ""",РФСС,7549450@mail.ru; 89217918477,7549450@mail.ru,89217918477,,,21.11.2020,,,,,,,,,,,,,КЧК
01.11.2020,01.11.2020,КЧК,Москва,"РОО ОЛСБП ""БРИЗ""",РФСС,t9689474953@mail.ru; 89689474953,t9689474953@mail.ru,89689474953,,,22.11.2020,,,,,,,,,,,,,КЧК
07.11.2020,08.11.2020,КЧК,Ульяновск,УРОО УКЛС КАНН,РФСС,"kann73@yandex.ru; 89033207522, 89272700276",kann73@yandex.ru," 89033207522, 89272700276",,,29.11.2020,,,,,,,,,,,,,КЧК
08.11.2020,08.11.2020,КЧК,Пенза,"ООКС ""ЛАСТОЧКА""",РФСС,"lastochka.dog@mail.ru; 89053661736, 89053666614",lastochka.dog@mail.ru," 89053661736, 89053666614",,,29.11.2020,,,,,,,,,,,,,КЧК
08.11.2020,08.11.2020,КЧК В КАЖДОМ КЛАССЕ,Южно-Сахалинск,"СРОО ""КС ""ВИННЕР""",РФОС,clubvinner@gmail.com; 89140965676,clubvinner@gmail.com,89140965676,,,29.11.2020,,,,,,,,,,,,,КЧК
8.11.2020,8.11.2020,КЧК,Москва,"РОО ""КЛУБ ЛЮБИТЕЛЕЙ ЖИВОТНЫХ
""ФАВОРИТ""",РФОС,f-klub@bk.ru; 89265576171,f-klub@bk.ru,89265576171,,,29.11.2020,,,,,,,,,,,,,КЧК
14.11.2020,15.11.2020,КЧК,Ставрополь,"РОО СК КЛЖ ""КОВЧЕГ-ФАУНА""",ОАНКОО,"dogstav@inbox.ru; 89187488520, 88652741212",dogstav@inbox.ru," 89187488520, 88652741212",,,06.12.2020,,,,,,,,,,,,,КЧК
21.11.2020,22.11.2020,КЧК В КАЖДОМ КЛАССЕ,Иркутск,"ИГОО ""АНГАРА""",РФЛС,"angaradog@mail.ru; 83952495641, 89149206530",angaradog@mail.ru," 83952495641, 89149206530",,,13.12.2020,,,,,,,,,,,,,КЧК
21.11.2020,22.11.2020,КЧК,Тверь,"ТОООЛЖ ""ТВЕРЬ""",ОАНКОО,olztver@gmail.com; 89106484893,olztver@gmail.com,89106484893,,,13.12.2020,,,,,,,,,,,,,КЧК в каждом классе
21.11.2020,22.11.2020,КЧК,Москва,"ОБЩЕРОССИЙСКАЯ ОБЩЕСТВЕННАЯ
ОРГАНИЗАЦИЯ ""РОССИЙСКАЯ
КИНОЛОГИЧЕСКАЯ КОНФЕДЕРАЦИЯ""",ОАНКОО,"1611426@bk.ru; 84991611426, 89166224493",1611426@bk.ru," 84991611426, 89166224493",,,13.12.2020,,,,,,,,,,,,,КЧК
21.11.2020,22.11.2020,КЧК,Казань,"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ
""КИНОЛОГИЧЕСКАЯ АКАДЕМИЯ Г.
КАЗАНИ""",ОАНКОО,"xollister@bk.ru; 88432110401, 89033403223",xollister@bk.ru," 88432110401, 89033403223",,,13.12.2020,,,,,,,,,,,,,КЧК
21.11.2020,22.11.2020,КЧК,Санкт-Петербург,"РОО ""НОРДВЕСТ""",РФЛС,argela@mail.ru; 89112600001,argela@mail.ru,89112600001,отмена выставки из-за карантина,,13.12.2020,,,,,,,,,,,,,КЧК
21.11.2020,22.11.2020,КЧК,Москва,"РКОО ""ФОРТУНА""",РФОС,fortuna-vystavka@yandex.ru; 89637564949,fortuna-vystavka@yandex.ru,89637564949,,,13.12.2020,,,,,,,,,,,,,КЧК
28.11.2020,29.11.2020,КЧК,"МО, Одинцово","МОРОО ""СКС""",РФЛС,"moroo.sks@mail.ru; 89257014621, 89151896627",moroo.sks@mail.ru," 89257014621, 89151896627",,,20.12.2020,,,,,,,,,,,,,КЧК
29.11.2020,29.11.2020,КЧК,Ярославль,"ЯГООЛЖ ""ЛИДЕР""",ОАНКОО,"yarlider@yandex.ru; 84852325500, 89109743313",yarlider@yandex.ru," 84852325500, 89109743313",,,20.12.2020,,,,,,,,,,,,,КЧК
05.12.2020,05.12.2020,КЧК,Киров,"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ
КИНОЛОГИЧЕСКОГО ПЛЕМЕННОГО
ЦЕНТРА ""КИНОС"" Г. КИРОВА",РФЛС,barbaris.solo@mail.ru; 89226618117,barbaris.solo@mail.ru,89226618117,,,26.12.2020,,,,,,,,,,,,,КЧК
05.12.2020,06.12.2020,КЧК,Чита,"ЗРОО ""КЛУБ СЛУЖЕБНОГО
СОБАКОВОДСТВА""",ОАНКОО,ehlla-eremeeva@mail.ru; 89144414909,ehlla-eremeeva@mail.ru,89144414909,,,27.12.2020,,,,,,,,,,,,,КЧК
05.12.2020,06.12.2020,КЧК,Москва,"РКОО ""КЛУБ СОБАКОВОДСТВА
""ГАРМОНИЯ""",РФСС,"vladobor2008@yandex.ru; 84999468765, 89057969027",vladobor2008@yandex.ru," 84999468765, 89057969027",,,27.12.2020,,,,,,,,,,,,,КЧК
05.12.2020 перенос на 12.12.20,06.12.2020,КЧК,Пермь,"КИНОЛОГИЧЕСКИЙ ЦЕНТР БРАНД""",РФСС,"serggold08@rambler.ru; 83422206882, 89127896757",serggold08@rambler.ru," 83422206882, 89127896757",,,27.12.2020,,,,,,,,,,,,,КЧК
05.12.2020,06.12.2020,КЧК,Южно-Сахалинск,"СРОО ""КСВП ""БЭСТ""",ОАНКОО,"dogclub.best@yandex.ru; 89147567747, 89147566094",dogclub.best@yandex.ru," 89147567747, 89147566094",,,27.12.2020,,,,,,,,,,,,,КЧК
5.12.2020,6.12.2020,КЧК,Екатеринбург,"КЛУБ ""ФАВОРИТ""",РФСС,"porjadina@mail.ru; 89506456940, 89502007739",porjadina@mail.ru," 89506456940, 89502007739",,,27.12.2020,,,,,,,,,,,,,КЧК
12.12.2020,13.12.2020,КЧК,Москва,"ОБЩЕСТВЕННОЕ ОБЪЕДИНЕНИЕ
""КИНОЛОГИЯ""",РФЛС,"kinologia@mail.ru; 84991441765, 89167966589",kinologia@mail.ru," 84991441765, 89167966589",,,03.01.2021,,,,,,,,,,,,,КЧК
12.12.2020,13.12.2020,КЧК,Тольятти,"ТГОО КЛУБ СОБАКОВОДОВ ""ВЕРНЫЙ""",РФСС,"vernyi63@mail.ru; 89277852522, 89277835583",vernyi63@mail.ru," 89277852522, 89277835583",,,03.01.2021,,,,,,,,,,,,,КЧК
12.12.2020,13.12.2020,КЧК,Новосибирск,"НРОО КЛС ""ЧЕМПИОН""",ОАНКОО,groborona@mail.ru; 89134743475,groborona@mail.ru,89134743475,,,03.01.2021,,,,,,,,,,,,,КЧК
19.12.2020,20.12.2020,КЧК,Краснодар,ККОБО КЗЖ,РФСС,zookrd@bk.ru; 89180799101,zookrd@bk.ru,89180799101,,,10.01.2021,,,,,,,,,,,,,КЧК
19.12.2020,20.12.2020,КЧК,Москва,"КЛЖ ""ОЛИМП""",РФЛС,klubolimp@yandex.ru; 89262324428,klubolimp@yandex.ru,89262324428,,,10.01.2021,,,,,,,,,,,,,КЧК
19.12.2020,20.12.2020,КЧК,Екатеринбург,"СР ОО КЛС ""ЭКЗОТИКА""",РФЛС,merisain57@gmail.com; 89530066409,merisain57@gmail.com,89530066409,,,10.01.2021,,,,,,,,,,,,,КЧК
19.12.2020,20.12.2020,КЧК,Екатеринбург,МОО ЕСТЦСС,,,estcss.rf@mail.ru,,перенос с апреля,,,,,,,,,,,,,,,
19.12.2020,20.12.2020,КЧК,Дзержинск,"ОО ""ДКС"" НО",РФЛС,ok-suvenir@mail.ru; 89047961455,ok-suvenir@mail.ru,89047961455,,,10.01.2021,,,,,,,,,,,,,КЧК
19.12.2020,20.12.2020,КЧК,Вологда,"ВОЛОГОДСКАЯ ГОРОДСКАЯ
ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ
""ВВСК ""ДЖОГУС""",ОАНКОО,"dosa2007@rambler.ru; 89095968000, 89626700136",dosa2007@rambler.ru," 89095968000, 89626700136",,,10.01.2021,,,,,,,,,,,,,КЧК
20.12.2020,20.12.2020,КЧК,Пенза,"ПРООЛЖ ""СКИФ""",РФЛС,skif-pnz@mail.ru,skif-pnz@mail.ru,,,,10.01.2021,,,,,,,,,,,,,КЧК
20.12.2020,20.12.2020,КЧК,Пенза,"ПРОО КЛЖ ""ЭГИДА""",ОАНКОО,mama112@mail.ru; 89061596928,mama112@mail.ru,89061596928,,,10.01.2021,,,,,,,,,,,,,КЧК
26.12.2020,27.12.2020,КЧК,Санкт-Петербург,"СПБ РОО ""КИНОЛОГИЧЕСКИЙ КЛУБ
""ГЛОРИЯ""",РФОС,kk-gloria@ya.ru; 88129052600360,kk-gloria@ya.ru,88129052600360,,,17.01.2021,,,,,,,,,,,,,КЧК
26.12.2020,27.12.2020,КЧК,Пермь,ПКОО УРКС,РФЛС,urks.perm@gmail.com; 89125917080,urks.perm@gmail.com,89125917080,,,17.01.2021,,,,,,,,,,,,,КЧК
44192,44192,КЧК,Москва,"РОО ""КЛУБ ЛЮБИТЕЛЕЙ СОБАК
""ОСТРОВ СОКРОВИЩ""",РФЛС,dogostrov@mail.ru; 89262291687,dogostrov@mail.ru,89262291687,,,44213,,,,,,,,,,,,,КЧК
(22.08.2020) 20.09.20,23.08.2020,КЧК,Балахна-ННовг,"БРОО ЛДЖ ""ФЕНИКС""
НИЖЕГОРОДСКОЙ ОБЛАСТИ",РФСС,fenixnn@yandex.ru; 89101476851,fenixnn@yandex.ru,89101476851,,,13.09.2020,,,,,,,,,,,,,КЧК
27.09.2020 (с 18.10),,КЧК,Санкт-Петербург,РОО КЛЖ «СТАНДАРТ»,РФСС,,brucs@ya.ru,79112303513,,,,,,,,,,,,,,,,
,23.08.2020,КЧК,Обнинск,"КРОО ""КСС ""СИМАРГЛ""",РФСС,"zlata-mishina@yandex.ru; 84843961178, 89105910031",zlata-mishina@yandex.ru," 84843961178, 89105910031",,,13.09.2020,,,,Хвалят общую атмосферу и место проведения.,,,,,,,,,КЧК
